Academy Ribbon Set,Blouse,Rare,เสื้อเชิ้ตนักเรียนทรงเข้ารูป มาพร้อมริบบิ้นผ้าซาตินเกรดพรีเมียม
Charcoal Asymmetric,Blouse,Rare,เสื้อสีถ่านดีไซน์ชายไม่เท่ากัน คัตติ้งเนี้ยบสไตล์มินิมอล
Dusty Rose Draped Top,Blouse,Rare,เสื้อผ้าชีฟองสีชมพูตุ่น จับจีบช่วงอกสวยงาม ดูหรูหรา
High-Collar Cyber Suit,Blouse,Rare,เสื้อคอปกตั้งทรงล้ำสมัย ตัดเย็บด้วยผ้าสังเคราะห์ผิวมันเงา
High-End Satin,Blouse,Rare,เสื้อซาตินเนื้อหนา ผิวสัมผัสนุ่มลื่นและเงางามแบบผ้าไหมแท้
Polka-Dot Pussy,Blouse,Common,เสื้อลายจุดผูกโบว์ที่คอ ผ้าโพลีเอสเตอร์ ดูแลรักษาง่าย
Pop-Star Lace Bustier,Blouse,Legendary,คอร์เซ็ทลูกไม้ฝรั่งเศสปักคริสตัล งานแฮนด์เมดระดับกูตูร์
Slate Mock-Neck Rib,Blouse,Common,เสื้อคอปีนผ้าร่องสีเทาเข้ม ยืดหยุ่นดี ใส่เป็นเสื้อตัวในได้
Tech-Mesh Layered Top,Blouse,Vintage,เสื้อตาข่ายซ้อนทับเสื้อกล้าม สไตล์สปอร์ตแฟชั่นทั่วไป
Victorian Poet Blouse,Blouse,Rare,เสื้อแขนพองสไตล์วิกตอเรียน ผ้าฝ้ายเก่าเก็บสภาพสมบูรณ์
Dolphin Summer,Camisole,Common,สายเดี่ยวสกรีนลายกราฟิกสดใส ผ้าคอตตอนผสม ใส่สบาย
Holographic Halter,Camisole,Rare,เสื้อคล้องคอทำจากวัสดุสะท้อนแสง เล่นสีเมื่อโดนแฟลช
Sequin Disco Halter Top,Camisole,Legendary,สายเดี่ยวปักเลื่อมหนาแน่นทั้งตัว งานวินเทจยุค 70s ของแท้หายาก
Silken Serenity,Camisole,Common,ตัดเย็บจากไหมมัลเบอร์รี่ 100% ให้สัมผัสเย็นสบายและหรูหราที่สุด
Midnight Floral,Camisole,Common,สายเดี่ยวพิมพ์ลายดอกไม้โทนสีมืด ผ้าเรยอนทิ้งตัว
Lace Whispers,Camisole,Uncommon,เสื้อสายเดี่ยวแต่งขอบลูกไม้เล็กน้อย ดีไซน์มาตรฐาน
Pearl Glow,Camisole,Uncommon,ผ้าซาตินสีมุกเหลือบเงา เนื้อผ้าดีกว่ารุ่นปกติเล็กน้อย
Velvet Moon,Camisole,Rare,สายเดี่ยวผ้ากำมะหยี่สั้น สัมผัสนุ่ม เหมาะกับงานกลางคืน
Crystal Weave,Camisole,Rare,ผ้าทอผสมดิ้นเงินระยิบระยับ โครงสร้างผ้าแข็งแรงไม่ย้วยง่าย
Astral Embroidered,Camisole,Vintage,งานปักลายดวงดาวด้วยด้ายเมทัลลิก ฝีเข็มละเอียดประณีต
Sunburst Crochet,Camisole,Vintage,เสื้อถักโครเชต์ลายวงกลม งานฝีมือยุคเก่าที่มีเอกลักษณ์
Cosmic Dust,Camisole,Legendary,เสื้อลายจุดสีเฟดจางตามกาลเวลา ให้ลุคเซอร์แบบธรรมชาติ
